Expected Outputs: D  | Obtained Outputs: D | Probability: 0.976453
Expected Outputs: V  | Obtained Outputs: V | Probability: 0.921425
Expected Outputs: K  | Obtained Outputs: K | Probability: 0.967175
Expected Outputs: H  | Obtained Outputs: H | Probability: 0.997116
Expected Outputs: R  | Obtained Outputs: P | Probability: 0.005902
Expected Outputs: O  | Obtained Outputs: O | Probability: 0.996491
Expected Outputs: B  | Obtained Outputs: L | Probability: 0.003580
Expected Outputs: Q  | Obtained Outputs: Q | Probability: 0.979363
Expected Outputs: P  | Obtained Outputs: P | Probability: 0.947766
Expected Outputs: W  | Obtained Outputs: W | Probability: 0.992012
Expected Outputs: E  | Obtained Outputs: I | Probability: 0.004155
Expected Outputs: T  | Obtained Outputs: T | Probability: 0.965068
Expected Outputs: A  | Obtained Outputs: A | Probability: 0.993468
Expected Outputs: J  | Obtained Outputs: J | Probability: 0.985798
Expected Outputs: F  | Obtained Outputs: F | Probability: 0.990594
Expected Outputs: I  | Obtained Outputs: I | Probability: 0.958455
Expected Outputs: M  | Obtained Outputs: M | Probability: 0.994871
Expected Outputs: Y  | Obtained Outputs: Y | Probability: 0.989182
Expected Outputs: X  | Obtained Outputs: W | Probability: 0.005437
Expected Outputs: L  | Obtained Outputs: L | Probability: 0.982209
Expected Outputs: Z  | Obtained Outputs: Z | Probability: 0.991276
Expected Outputs: G  | Obtained Outputs: G | Probability: 0.976040
Expected Outputs: C  | Obtained Outputs: C | Probability: 0.986199
Expected Outputs: S  | Obtained Outputs: S | Probability: 0.997912
Expected Outputs: N  | Obtained Outputs: N | Probability: 0.972982
Expected Outputs: U  | Obtained Outputs: U | Probability: 0.995647
Expected Outputs: Z  | Obtained Outputs: Z | Probability: 0.993534
Expected Outputs: M  | Obtained Outputs: M | Probability: 0.996712
Expected Outputs: D  | Obtained Outputs: D | Probability: 0.980229
Expected Outputs: Q  | Obtained Outputs: Q | Probability: 0.985604
Expected Outputs: G  | Obtained Outputs: G | Probability: 0.985406
Expected Outputs: U  | Obtained Outputs: F | Probability: 0.004035
Expected Outputs: A  | Obtained Outputs: A | Probability: 0.985171
Expected Outputs: K  | Obtained Outputs: K | Probability: 0.975509
Expected Outputs: P  | Obtained Outputs: P | Probability: 0.997792
Expected Outputs: T  | Obtained Outputs: I | Probability: 0.009142
Expected Outputs: X  | Obtained Outputs: W | Probability: 0.003042
Expected Outputs: J  | Obtained Outputs: T | Probability: 0.128573
Expected Outputs: B  | Obtained Outputs: F | Probability: 0.003433
Expected Outputs: L  | Obtained Outputs: L | Probability: 0.985668
Expected Outputs: V  | Obtained Outputs: V | Probability: 0.938450
Expected Outputs: H  | Obtained Outputs: H | Probability: 0.973138
Expected Outputs: O  | Obtained Outputs: O | Probability: 0.999707
Expected Outputs: S  | Obtained Outputs: S | Probability: 0.996286
Expected Outputs: I  | Obtained Outputs: I | Probability: 0.970871
Expected Outputs: E  | Obtained Outputs: E | Probability: 0.988969
Expected Outputs: N  | Obtained Outputs: N | Probability: 0.999089
Expected Outputs: R  | Obtained Outputs: R | Probability: 0.993331
Expected Outputs: C  | Obtained Outputs: C | Probability: 0.993197
Expected Outputs: F  | Obtained Outputs: F | Probability: 0.976048
Expected Outputs: W  | Obtained Outputs: W | Probability: 0.986912
Expected Outputs: Y  | Obtained Outputs: Y | Probability: 0.963471
